NAME,AGE_GROUP,CERT_GBN
1,50대,참가증
2,50대,참가증
3,40대,참가증
4,50대,참가증
5,30대,참가증
6,30대,참가증
7,50대,참가증
8,50대,참가증
9,50대,참가증
10,50대,참가증
11,50대,참가증
12,50대,참가증
13,50대,2등급
14,50대,1등급
15,50대,3등급
16,40대,1등급
17,50대,1등급
18,40대,참가증
19,50대,참가증
20,30대,참가증
21,30대,참가증
22,50대,참가증
23,40대,참가증
24,50대,참가증
25,50대,참가증
26,10대,참가증
27,50대,참가증
28,50대,참가증
29,50대,참가증
30,40대,참가증
31,50대,참가증
32,50대,참가증
33,50대,참가증
34,50대,참가증
35,50대,참가증
36,50대,참가증
37,50대,참가증
38,10대,참가증
39,10대,참가증
40,40대,참가증
41,50대,참가증
42,50대,참가증
43,50대,참가증
44,30대,참가증
45,50대,참가증
46,50대,참가증
47,50대,참가증
48,50대,참가증
49,50대,참가증
50,50대,참가증
51,50대,참가증
52,50대,참가증
53,50대,참가증
54,10대,참가증
55,10대,참가증
56,50대,참가증
57,10대,참가증
58,50대,참가증
59,50대,참가증
60,50대,1등급
61,40대,참가증
62,50대,참가증
63,50대,참가증
64,50대,1등급
65,50대,참가증
66,50대,참가증
67,50대,참가증
68,50대,참가증
69,50대,2등급
70,50대,참가증
71,30대,참가증
72,40대,참가증
73,50대,참가증
74,50대,참가증
75,50대,참가증
76,50대,1등급
77,50대,참가증
78,50대,1등급
79,10대,참가증
80,10대,참가증
81,50대,참가증
82,10대,참가증
83,50대,참가증
84,50대,참가증
85,30대,참가증
86,50대,3등급
87,30대,3등급
88,50대,참가증
89,50대,참가증
90,50대,참가증
91,50대,참가증
92,50대,참가증
93,50대,참가증
94,10대,참가증
95,50대,참가증
96,30대,참가증
97,10대,참가증
98,50대,참가증
99,50대,참가증
100,40대,참가증
101,30대,참가증
102,30대,참가증
103,50대,참가증
104,50대,참가증
105,50대,참가증
106,50대,참가증
107,40대,참가증
108,10대,참가증
109,50대,참가증
110,50대,참가증
111,10대,참가증
112,50대,참가증
113,10대,참가증
114,50대,참가증
115,50대,참가증
116,50대,참가증
117,50대,참가증
118,50대,참가증
119,50대,참가증
120,30대,참가증
121,50대,참가증
122,50대,참가증
123,30대,참가증
124,40대,참가증
125,40대,참가증
126,50대,참가증
127,30대,참가증
128,50대,3등급
129,50대,참가증
130,50대,참가증
131,30대,참가증
132,50대,참가증
133,50대,참가증
134,10대,참가증
135,10대,참가증
136,50대,참가증
137,50대,참가증
138,30대,참가증
139,40대,참가증
140,50대,1등급
141,50대,참가증
142,50대,1등급
143,40대,참가증
144,50대,참가증
145,40대,참가증
146,50대,참가증
147,50대,참가증
148,10대,참가증
149,10대,참가증
150,10대,참가증
151,10대,참가증
152,30대,참가증
153,10대,참가증
154,10대,참가증
155,10대,참가증
156,50대,참가증
157,40대,참가증
158,10대,참가증
159,50대,참가증
160,40대,참가증
161,10대,참가증
162,50대,참가증
163,40대,참가증
164,40대,참가증
165,10대,참가증
166,50대,참가증
167,50대,참가증
168,50대,참가증
169,10대,참가증
170,10대,참가증
171,10대,참가증
172,40대,참가증
173,10대,참가증
174,10대,참가증
175,30대,참가증
176,50대,참가증
177,50대,3등급
178,10대,참가증
179,10대,참가증
180,50대,참가증
181,10대,참가증
182,40대,참가증
183,10대,참가증
184,40대,참가증
185,30대,3등급
186,50대,참가증
187,30대,참가증
188,40대,참가증
189,50대,참가증
190,30대,참가증
191,50대,참가증
192,10대,참가증
193,50대,참가증
194,50대,참가증
195,20대,참가증
196,50대,참가증
197,50대,참가증
198,10대,참가증
199,40대,참가증
200,50대,참가증
201,30대,참가증
202,50대,참가증
203,50대,참가증
204,50대,참가증
205,10대,참가증
206,50대,참가증
207,50대,참가증
208,30대,참가증
209,30대,참가증
210,40대,참가증
211,50대,참가증
212,50대,참가증
213,50대,참가증
214,50대,참가증
215,30대,참가증
216,30대,참가증
217,50대,참가증
218,40대,참가증
219,10대,참가증
220,50대,참가증
