NAME,AGE_GROUP,CERT_GBN
1,5,1
2,1,3
3,2,2
4,3,1
5,4,1
6,3,3
7,1,1
8,4,1
9,5,1
10,1,3
11,2,3
12,1,2
13,1,3
14,1,4
15,1,2
16,1,4
17,2,3
18,3,1
19,5,1
20,1,1
21,1,2
22,5,1
23,2,2
24,1,1
25,5,1
26,2,2
27,1,1
28,1,1
29,5,2
30,3,1
31,5,1
32,1,2
33,1,3
34,1,1
35,1,1
36,1,1
37,1,1
38,1,3
39,2,2
40,4,1
41,1,1
42,2,1
43,1,1
44,2,4
45,4,2
46,1,1
47,1,1
48,5,1
49,2,3
50,1,1
51,2,2
52,2,1
53,5,2
54,1,1
55,2,1
56,1,1
57,3,1
58,1,1
59,1,1
60,1,4
61,2,1
62,1,1
63,2,3
64,1,4
65,5,3
66,1,3
67,1,1
68,1,2
69,1,1
70,5,3
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,4
77,5,1
78,1,4
79,1,1
80,1,3
81,1,1
82,2,3
83,5,1
84,1,1
85,1,2
86,1,1
87,1,3
88,1,3
89,1,1
90,1,1
91,1,1
92,1,1
93,1,2
94,2,2
95,1,1
96,2,1
97,1,1
98,5,2
99,2,2
100,1,2
101,1,1
102,1,2
103,1,1
104,5,1
105,5,1
106,5,1
107,1,1
108,1,2
109,5,1
110,1,1
111,2,1
112,1,2
113,2,2
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,4,1
120,1,1
121,1,1
122,1,1
123,1,1
124,3,1
125,2,3
126,3,1
127,4,2
128,5,1
129,1,1
130,1,1
131,1,2
132,1,1
133,5,2
134,2,3
135,2,1
136,1,1
137,5,1
138,3,4
139,2,1
140,1,4
141,1,1
142,1,4
143,2,3
144,1,1
145,1,1
146,1,1
147,1,1
148,2,1
149,1,2
150,2,2
151,1,1
152,1,1
153,2,1
154,2,4
155,1,3
156,2,1
157,3,4
158,1,4
159,1,1
160,3,1
161,1,1
162,1,1
163,2,2
164,2,1
165,1,1
166,1,1
167,1,1
168,1,1
169,2,2
170,1,1
171,2,3
172,1,2
173,2,1
174,2,3
175,2,1
176,5,1
177,5,4
178,2,3
179,2,3
180,1,1
181,1,3
182,2,2
183,1,1
184,1,1
185,1,1
186,5,2
187,1,1
188,2,2
189,1,3
190,1,1
191,3,1
192,1,1
193,2,1
194,1,2
195,2,1
196,1,4
197,3,1
198,2,4
199,1,1
200,5,3
201,2,1
202,1,1
203,1,1
204,5,1
205,2,1
206,1,2
207,1,2
208,1,1
209,4,1
210,4,1
211,1,3
212,1,1
213,1,1
214,1,2
215,2,1
216,2,1
217,5,3
218,4,2
219,1,1
220,1,1
221,1,1
222,1,2
223,5,1
224,2,2
225,1,3
226,1,3
227,3,1
228,3,1
229,2,2
230,2,3
231,1,1
232,2,3
233,1,1
234,4,1
235,1,1
236,3,2
237,5,1
238,1,2
239,1,2
240,4,1
241,3,1
242,5,1
243,2,1
244,1,1
245,5,1
246,5,2
247,4,1
248,1,1
249,3,1
250,1,1
251,1,1
252,1,4
253,3,2
254,1,2
255,1,1
256,1,4
257,1,2
258,2,1
259,2,3
260,1,2
261,1,1
262,1,4
263,5,1
264,2,1
265,1,2
266,1,1
267,2,2
268,2,1
269,1,1
270,1,1
271,5,1
272,3,1
273,5,2
274,3,3
275,1,3
276,2,3
277,3,2
278,2,1
279,1,2
280,2,1
281,1,2
282,1,3
283,1,1
284,2,1
285,1,1
286,1,1
287,2,1
288,1,1
289,1,1
290,2,1
291,1,2
292,2,2
293,2,2
294,2,3
295,1,1
